"Instytucja wybierana";"Kod terytorialny";"Nr okręgu";"Liczba mandatów";"Liczba komitetów";"Liczba kandydatów";"Liczba wyborców";"Granice okręgu wyborczego"
"Senat";"SNT/86";"86";"1";"3";"3";"313320";"powiaty: nidzicki, olsztyński, szczycieński oraz miasto na prawach powiatu: Olsztyn"
"Senat";"SNT/87";"87";"1";"6";"6";"324510";"powiaty: ełcki, giżycki, gołdapski, kętrzyński, mrągowski, olecki, piski, węgorzewski"
"Senat";"SNT/88";"88";"1";"5";"5";"324002";"powiaty: chodzieski, czarnkowsko-trzcianecki, pilski, wągrowiecki, złotowski"
"Senat";"SNT/89";"89";"1";"5";"5";"285421";"powiaty: grodziski, międzychodzki, nowotomyski, obornicki, szamotulski, wolsztyński"
"Senat";"SNT/90";"90";"1";"3";"3";"254453";"powiat: poznański"
"Senat";"SNT/91";"91";"1";"3";"3";"432413";"miasto na prawach powiatu: Poznań"
"Senat";"SNT/92";"92";"1";"5";"5";"313647";"powiaty: gnieźnieński, słupecki, średzki, śremski, wrzesiński"
"Senat";"SNT/93";"93";"1";"6";"6";"303043";"powiaty: kolski, koniński, turecki oraz miasto na prawach powiatu: Konin"
"Senat";"SNT/94";"94";"1";"6";"6";"263297";"powiaty: gostyński, kościański, leszczyński, rawicki oraz miasto na prawach powiatu: Leszno"
"Senat";"SNT/95";"95";"1";"5";"5";"277992";"powiaty: kępiński, krotoszyński, ostrowski, ostrzeszowski"
"Senat";"SNT/96";"96";"1";"7";"7";"256181";"powiaty: jarociński, kaliski, pleszewski oraz miasto na prawach powiatu: Kalisz"
"Senat";"SNT/97";"97";"1";"6";"6";"370147";"powiat: policki oraz miasto na prawach powiatu: Szczecin"
"Senat";"SNT/98";"98";"1";"4";"4";"467096";"powiaty: goleniowski, gryficki, gryfiński, kamieński, łobeski, myśliborski, pyrzycki, stargardzki oraz miasto na prawach powiatu: Świnoujście"
"Senat";"SNT/99";"99";"1";"6";"6";"274488";"powiaty: białogardzki, choszczeński, drawski, kołobrzeski, świdwiński, wałecki"
"Senat";"SNT/100";"100";"1";"4";"4";"246956";"powiaty: koszaliński, sławieński, szczecinecki oraz miasto na prawach powiatu: Koszalin"
